USD,ISSUE_DT,MATURITY,first_cpn_DT,CPN_FREQ,CPN,PX_MID,DAY_CNT_DES
1M,16/8/2012,14/2/2013,NaN,NaN,0,0.025,ACT/360
3M,18/10/2012,18/4/2013,NaN,NaN,0,0.077499986,ACT/360
6M,17/1/2013,18/7/2013,NaN,NaN,0,0.102500021,ACT/360
1Y,10/1/2013,9/1/2014,NaN,NaN,0,0.147500008,ACT/360
2Y,15/11/2012,31/12/2014,30/6/2013,2,0.125,99.72265625,ACT/ACT
3Y,15/11/2012,15/1/2016,15/7/2013,2,0.375,99.94921875,ACT/ACT
5Y,16/8/2012,31/12/2017,30/6/2013,2,0.75,99.80078125,ACT/ACT
7Y,18/10/2012,31/12/2019,30/6/2013,2,1.125,98.9453125,ACT/ACT
10Y,17/1/2013,15/11/2022,15/5/2013,2,1.625,97.7265625,ACT/ACT
30Y,10/1/2013,15/11/2042,15/5/2013,2,2.75,93.8203125,ACT/ACT
